No.,NAMA PERUSAHAAN,ALAMAT PERUSAHAAN,TK PRIA,TK WANITA,TOTAL TK,JENIS USAHA
66,Supercup,Jl. Raya Bandulan III/1,3,20,23,Industri/ Kembang gula
67,Persh. Krupuk Superjaya,Jl. Kelapa Sawit 10/97,20,10,30,Industri/ Kerupuk
68,Mulia Jaya Knalpot,Jl. Janti Barat 25,87,18,105,Industri/ Knalpot
69,"Sumberurip Adi Knalpot, PT.",Jl. Muharto 129,66,5,71,Industri/ knalpot
70,Cipta Busana,Jl. Ronggowarsito 25,2,40,42,Industri/ Konveksi
71,early konveksi,Jl. Sartono SH 11,0,7,7,Industri/ Konveksi
72,Konveksi Boy,Jl. Kedungkandang VII/30,2,8,10,Industri/ Konveksi
73,Konveksi Wanly Trevi,Jl. Supriyadi 51,19,18,37,Industri/ Konveksi
74,Joy Collection,Jl. Ciliwung 47A,4,27,31,Industri/ Konveksi/Garment
75,Anda Jaya,Jl. Raya Bandulan 93,2,8,10,Industri/ Kue
76,Indratno Sunyoto,Jl. LA. Sucipto XX/20,10,20,30,Industri/ Kue
77,Kacang Bumbu,Jl. A. Yani 177/92,2,5,7,Industri/ Kue
78,Kue Koya Madusari,Jl. Zainal Arifin 11,1,7,8,Industri/ Kue
79,Ratna Cake,Jl. Yos Sudarso 1,5,7,12,Industri/ Kue
80,"Usaha Loka Unit Kulit, PT.",Jl. Susanto 8,107,6,113,Industri/ Kulit
81,Sumber Mas,Jl. Raya Bandulan 135,4,14,18,Industri/ Makanan Kecil
82,Golden Leaves Jaya Abadi,Jl. R. Madyopuro 21/33,38,112,150,Industri/ Makanan Ringan
83,Mie Jentayu,Jl. Bandulan IX/584,21,35,56,Industri/ Mie
84,"Balatif, PT.",Jl. Tenaga Tengah 5,37,30,67,Industri/ Obat
85,"Kebalen Timur, PT.",Jl. Kebalen Wetan 54,14,0,14,Industri/ Penyamaan Kulit
86,"Kasin, PT.",Jl. Peltu Sujono 25,63,6,69,Industri/ Penyamakan Kulit
87,"AA, PR.",Jl. M. Sungkono Gg. III,8,279,287,Industri/ Perusahaan Rokok
88,"AA, PR.",Jl. M. Sungkono I,29,11,40,Industri/ Perusahaan Rokok
89,"Anak Sakti, PR.",Jl. Satsui Tubun 27B,4,140,144,Industri/ Perusahaan Rokok
90,"Asia, PR.",Jl. Mulyosari 15,46,284,330,Industri/ Perusahaan Rokok
91,"Banju Biru, PT.",Jl. A. R. Hakim 2,23,237,260,Industri/ Perusahaan Rokok
92,"Banju Biru, PT.",Jl. A. Yani Utara 192-196,45,51,96,Industri/ Perusahaan Rokok
93,"Bentoel Prima, PT.",Jl. Niaga 2,22,1405,1427,Industri/ Perusahaan Rokok
94,"Berkah Tobacco Indonesia, PT.",Jl. Dr. Sutomo 14,85,9,94,Industri/ Perusahaan Rokok
95,"Bintang Bola Dunia, PT.",Jl. Peltu Sujono 9,11,118,129,Industri/ Perusahaan Rokok
96,"Djagung Padi Mas, PR.",Jl. Ki Ageng Gribig 316,81,264,345,Industri/ Perusahaan Rokok
97,"Gandum, PT",Jl. Mulyosari,616,2079,2695,Industri/ Perusahaan Rokok
98,"Gangsar, PT.",Jl. Raya Bandulan 83,19,137,156,Industri/ Perusahaan Rokok
99,"Gerbang Jaya Lestari, PT.",Jl. Raya Bandulan 202,128,782,910,Industri/ Perusahaan Rokok
